数据库：分省年度数据,,,,,
指标：年末常住人口(万人),,,,,
时间：最近5年,,,,,
地区,2015年,2014年,2013年,2012年,2011年
北京市,2171,2152,2115,2069,2019
天津市,1547,1517,1472,1413,1355
河北省,7425,7384,7333,7288,7241
山西省,3664,3648,3630,3611,3593
内蒙古自治区,2511,2505,2498,2490,2482
辽宁省,4382,4391,4390,4389,4383
吉林省,2753,2752,2751,2750,2749
黑龙江省,3812,3833,3835,3834,3834
上海市,2415,2426,2415,2380,2347
江苏省,7976,7960,7939,7920,7899
浙江省,5539,5508,5498,5477,5463
安徽省,6144,6083,6030,5988,5968
福建省,3839,3806,3774,3748,3720
江西省,4566,4542,4522,4504,4488
山东省,9847,9789,9733,9685,9637
河南省,9480,9436,9413,9406,9388
湖北省,5852,5816,5799,5779,5758
湖南省,6783,6737,6691,6639,6596
广东省,10849,10724,10644,10594,10505
广西壮族自治区,4796,4754,4719,4682,4645
海南省,911,903,895,887,877
重庆市,3017,2991,2970,2945,2919
四川省,8204,8140,8107,8076,8050
贵州省,3530,3508,3502,3484,3469
云南省,4742,4714,4687,4659,4631
西藏自治区,324,318,312,308,303
陕西省,3793,3775,3764,3753,3743
甘肃省,2600,2591,2582,2578,2564
青海省,588,583,578,573,568
宁夏回族自治区,668,662,654,647,639
新疆维吾尔自治区,2360,2298,2264,2233,2209
注：2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。,,,,,
数据来源：国家统计局,,,,,
